student_id,gender,ethnicity_group,parent_education,lunch_type,test_preparation,study_hours_week,attendance_rate,tutoring,extracurricular,math_score,reading_score,writing_score,final_grade_pct,passed
499,Male,Group E,Some College,Standard,Not Completed,4.8,0.81,No,Yes,61.7,65.7,65.9,64.4,1
500,Male,Group C,Some College,Free/Reduced,Not Completed,11.0,1.0,No,Yes,74.6,68.0,60.3,67.6,1
501,Male,Group D,Associate's,Standard,Not Completed,13.2,0.788,No,No,74.4,76.6,72.9,74.6,1
502,Male,Group D,Associate's,Standard,Not Completed,12.8,0.976,No,Yes,100.0,93.7,91.6,95.1,1
503,Female,Group C,Some College,Standard,Not Completed,8.9,0.935,No,No,85.1,75.0,84.8,81.6,1
504,Male,Group E,High School,Standard,Completed,9.6,0.806,No,No,82.4,90.9,89.7,87.7,1
505,Male,Group B,Some College,Standard,Not Completed,3.7,0.89,No,No,51.0,55.9,47.8,51.6,0
506,Female,Group A,Some College,Free/Reduced,Completed,6.5,0.894,Yes,No,100.0,90.1,92.3,94.1,1
507,Male,Group E,Bachelor's,Free/Reduced,Not Completed,7.3,1.0,No,No,73.5,74.4,69.4,72.4,1
508,Male,Group C,High School,Free/Reduced,Not Completed,8.1,0.843,No,Yes,63.9,58.2,52.2,58.1,0
509,Male,Group D,Associate's,Free/Reduced,Completed,8.0,0.879,No,Yes,77.9,80.0,76.8,78.2,1
510,Male,Group E,Master's,Free/Reduced,Not Completed,6.9,0.713,No,Yes,57.0,48.6,59.8,55.1,0
511,Male,Group A,High School,Standard,Not Completed,8.8,1.0,Yes,Yes,70.7,87.8,71.1,76.5,1
512,Female,Group E,Some College,Free/Reduced,Completed,7.8,0.814,Yes,Yes,78.6,73.0,83.7,78.4,1
513,Male,Group C,High School,Free/Reduced,Completed,7.8,0.926,No,No,63.9,63.0,55.0,60.6,1
514,Male,Group C,Associate's,Free/Reduced,Completed,4.4,0.892,Yes,Yes,81.6,94.8,81.1,85.8,1
515,Female,Group C,Associate's,Standard,Not Completed,3.2,0.892,No,Yes,49.9,53.4,46.9,50.1,0
516,Female,Group E,Some College,Standard,Not Completed,8.1,0.965,Yes,No,100.0,88.9,98.8,95.9,1
517,Female,Group A,Associate's,Free/Reduced,Completed,5.2,1.0,No,No,82.6,88.8,79.8,83.7,1
518,Male,Group C,Bachelor's,Free/Reduced,Completed,4.5,0.92,No,Yes,82.2,77.3,65.0,74.8,1
519,Male,Group D,High School,Free/Reduced,Not Completed,10.0,0.952,No,Yes,55.2,62.8,65.1,61.0,1
520,Female,Group D,High School,Standard,Completed,6.6,0.926,Yes,No,70.0,72.0,74.9,72.3,1
521,Male,Group D,Bachelor's,Standard,Not Completed,14.3,0.981,No,Yes,77.7,85.2,87.7,83.5,1
522,Female,Group A,Associate's,Standard,Not Completed,9.4,0.863,Yes,Yes,68.6,75.6,72.3,72.2,1
523,Male,Group B,Bachelor's,Free/Reduced,Not Completed,4.2,0.986,No,No,75.5,72.2,79.9,75.9,1
524,Male,Group B,Associate's,Standard,Not Completed,10.1,0.989,Yes,Yes,100.0,100.0,95.0,98.3,1
525,Male,Group D,Bachelor's,Standard,Not Completed,8.6,0.987,No,Yes,82.3,91.9,88.3,87.5,1
526,Female,Group B,Some College,Free/Reduced,Not Completed,4.1,0.847,Yes,Yes,51.0,51.9,59.1,54.0,0
527,Female,Group B,Bachelor's,Standard,Not Completed,4.8,0.887,No,Yes,52.9,63.1,68.5,61.5,1
528,Female,Group E,Master's,Free/Reduced,Completed,9.8,0.919,No,No,88.3,77.0,83.9,83.1,1
529,Female,Group A,Associate's,Standard,Completed,1.9,0.79,Yes,No,57.7,64.2,60.7,60.9,1
530,Male,Group E,High School,Free/Reduced,Not Completed,1.4,1.0,Yes,No,48.8,62.4,47.2,52.8,0
531,Male,Group D,Some College,Standard,Completed,7.6,0.899,No,Yes,92.5,99.0,93.3,94.9,1
532,Male,Group D,High School,Free/Reduced,Not Completed,7.2,0.923,No,Yes,65.2,59.9,63.7,62.9,1
533,Male,Group B,High School,Free/Reduced,Not Completed,7.9,0.854,No,Yes,50.2,56.3,57.2,54.6,0
534,Male,Group A,Some College,Standard,Completed,7.2,0.794,No,No,74.8,83.2,77.1,78.4,1
535,Male,Group D,Associate's,Standard,Not Completed,8.8,0.852,No,No,53.3,63.7,60.9,59.3,0
536,Male,Group D,Associate's,Standard,Not Completed,13.3,0.918,No,Yes,73.4,74.0,60.2,69.2,1
537,Male,Group D,Some College,Free/Reduced,Not Completed,6.9,0.954,No,Yes,54.8,59.4,58.3,57.5,0
538,Female,Group A,Associate's,Free/Reduced,Completed,2.5,0.913,Yes,Yes,81.7,87.9,81.0,83.5,1
539,Female,Group D,High School,Standard,Not Completed,1.7,0.928,Yes,Yes,65.1,70.0,62.1,65.7,1
540,Female,Group D,High School,Standard,Completed,5.5,0.873,No,Yes,53.5,51.1,44.4,49.7,0
541,Male,Group D,High School,Standard,Not Completed,5.6,0.94,No,No,82.3,70.1,72.0,74.8,1
542,Male,Group D,Associate's,Free/Reduced,Completed,2.8,1.0,No,No,75.0,69.4,71.0,71.8,1
543,Female,Group D,High School,Free/Reduced,Completed,1.2,0.956,No,Yes,46.0,55.7,44.5,48.7,0
544,Male,Group C,Some College,Standard,Completed,5.3,0.965,No,Yes,65.0,76.4,72.4,71.3,1
545,Male,Group A,Some College,Standard,Not Completed,16.6,0.924,No,No,92.2,87.8,76.6,85.5,1
546,Female,Group C,Bachelor's,Standard,Not Completed,8.6,0.78,No,Yes,77.1,69.4,65.0,70.5,1
547,Female,Group A,High School,Standard,Completed,8.1,0.816,No,Yes,78.0,89.3,83.7,83.7,1
548,Male,Group C,Associate's,Standard,Not Completed,6.2,0.936,Yes,No,73.0,78.7,61.3,71.0,1
549,Male,Group C,Associate's,Standard,Not Completed,5.5,0.899,Yes,Yes,70.8,80.8,77.7,76.4,1
550,Male,Group A,Bachelor's,Standard,Not Completed,9.1,0.935,No,Yes,78.9,80.6,75.2,78.2,1
551,Male,Group B,Master's,Standard,Completed,3.1,1.0,No,No,67.6,70.4,67.9,68.6,1
552,Male,Group A,High School,Standard,Not Completed,19.0,0.958,Yes,Yes,100.0,94.8,100.0,98.3,1
553,Male,Group D,High School,Standard,Completed,3.2,1.0,No,Yes,79.3,76.6,80.6,78.8,1
554,Male,Group E,Bachelor's,Standard,Not Completed,9.5,0.908,Yes,No,92.1,85.3,77.3,84.9,1
555,Male,Group A,Some College,Free/Reduced,Not Completed,3.4,0.835,Yes,Yes,60.6,72.1,65.7,66.1,1
556,Female,Group E,Associate's,Free/Reduced,Completed,7.3,0.895,Yes,No,73.3,79.1,70.6,74.3,1
557,Female,Group C,Associate's,Standard,Not Completed,10.1,0.836,No,No,56.4,65.9,56.3,59.5,0
558,Female,Group B,Associate's,Standard,Not Completed,2.2,1.0,No,No,73.4,64.0,62.8,66.7,1
559,Male,Group A,Master's,Free/Reduced,Completed,3.7,0.963,Yes,No,95.9,85.0,95.4,92.1,1
560,Male,Group C,Master's,Free/Reduced,Completed,3.8,0.942,No,No,100.0,92.0,84.8,92.3,1
561,Male,Group D,Bachelor's,Standard,Not Completed,5.8,0.999,No,Yes,85.2,89.2,81.3,85.2,1
562,Female,Group D,Some College,Standard,Completed,7.9,0.738,No,No,68.9,66.9,59.7,65.2,1
563,Female,Group A,Bachelor's,Standard,Completed,16.8,0.947,No,Yes,94.0,100.0,91.6,95.2,1
564,Female,Group A,High School,Standard,Completed,4.8,0.795,Yes,Yes,69.2,63.1,64.9,65.7,1
565,Female,Group C,High School,Standard,Not Completed,16.2,0.899,No,No,65.9,63.8,68.8,66.2,1
566,Male,Group B,Bachelor's,Standard,Not Completed,8.4,0.875,Yes,Yes,78.2,76.3,63.7,72.7,1
567,Female,Group B,Some College,Free/Reduced,Completed,3.1,0.953,Yes,Yes,62.9,60.5,61.1,61.5,1
568,Female,Group B,High School,Standard,Completed,6.2,0.918,No,Yes,67.9,74.3,64.9,69.0,1
569,Male,Group D,High School,Standard,Not Completed,2.5,1.0,No,No,77.7,77.2,83.4,79.4,1
570,Female,Group E,Bachelor's,Standard,Not Completed,5.5,0.852,Yes,Yes,77.0,73.1,92.6,80.9,1
571,Female,Group C,Associate's,Standard,Not Completed,5.3,0.957,No,Yes,61.0,69.4,60.1,63.5,1
572,Male,Group E,Associate's,Standard,Not Completed,7.4,0.913,Yes,No,80.2,68.0,65.2,71.1,1
573,Female,Group B,High School,Standard,Not Completed,9.6,0.769,Yes,No,58.8,54.6,57.5,57.0,0
574,Male,Group C,Bachelor's,Free/Reduced,Not Completed,6.5,0.827,No,Yes,64.3,56.4,60.5,60.4,1
575,Male,Group B,Bachelor's,Standard,Completed,3.4,0.888,Yes,No,79.2,89.6,95.4,88.1,1
576,Male,Group C,Some College,Free/Reduced,Not Completed,14.3,0.989,No,Yes,85.3,86.1,90.5,87.3,1
577,Female,Group E,Some College,Free/Reduced,Completed,17.4,0.937,No,No,100.0,100.0,100.0,100.0,1
578,Male,Group C,High School,Standard,Not Completed,6.1,0.807,Yes,No,69.9,78.4,67.9,72.1,1
579,Female,Group B,Master's,Standard,Not Completed,8.2,0.889,Yes,Yes,93.0,91.8,85.0,89.9,1
580,Female,Group C,Associate's,Standard,Not Completed,5.9,1.0,No,No,67.6,82.5,79.4,76.5,1
581,Female,Group A,Master's,Free/Reduced,Not Completed,7.5,0.909,No,No,74.6,67.8,70.9,71.1,1
582,Male,Group E,Some College,Free/Reduced,Completed,7.7,0.874,No,No,63.5,62.6,51.1,59.1,0
583,Female,Group C,Bachelor's,Free/Reduced,Completed,2.8,0.939,No,No,84.7,86.9,86.3,86.0,1
584,Female,Group C,Bachelor's,Standard,Not Completed,5.6,0.961,No,Yes,82.9,87.5,81.6,84.0,1
585,Male,Group C,Associate's,Free/Reduced,Not Completed,11.9,0.864,No,Yes,70.1,67.0,65.8,67.6,1
586,Female,Group C,Master's,Standard,Not Completed,11.4,0.94,No,No,89.8,89.9,81.4,87.0,1
587,Female,Group A,Some College,Standard,Completed,5.5,0.874,Yes,Yes,81.4,82.3,80.0,81.2,1
588,Female,Group D,High School,Standard,Completed,7.8,0.958,No,No,83.4,78.6,82.4,81.5,1
589,Female,Group B,Associate's,Standard,Not Completed,5.8,0.914,No,Yes,55.7,53.1,46.9,51.9,0
590,Female,Group D,Bachelor's,Free/Reduced,Completed,9.8,0.939,Yes,No,82.0,89.6,90.4,87.3,1
591,Female,Group D,Associate's,Standard,Completed,2.1,0.839,Yes,No,72.8,65.4,63.0,67.1,1
592,Male,Group D,High School,Standard,Not Completed,9.1,0.834,Yes,Yes,74.0,76.7,65.5,72.1,1
593,Female,Group C,Associate's,Standard,Not Completed,14.8,0.976,No,No,84.5,98.5,100.0,94.3,1
594,Female,Group C,Some College,Free/Reduced,Completed,4.3,0.894,No,No,73.6,73.1,71.0,72.6,1
595,Male,Group A,Some College,Free/Reduced,Completed,13.7,0.923,No,Yes,66.7,70.2,66.1,67.7,1
596,Female,Group D,Associate's,Standard,Not Completed,8.0,0.875,No,Yes,67.8,65.0,67.3,66.7,1
597,Male,Group B,Bachelor's,Standard,Not Completed,6.5,0.972,No,Yes,85.4,87.9,92.9,88.7,1
598,Female,Group C,High School,Standard,Not Completed,5.5,0.851,No,Yes,61.4,54.0,45.8,53.7,0
599,Female,Group B,Some College,Free/Reduced,Not Completed,14.0,0.889,No,Yes,56.0,65.3,53.6,58.3,0
600,Female,Group A,Some College,Standard,Completed,5.8,0.963,No,No,84.4,85.0,74.7,81.4,1
601,Female,Group C,High School,Standard,Not Completed,16.0,0.994,No,No,91.3,84.8,80.7,85.6,1
602,Female,Group A,Bachelor's,Standard,Completed,15.0,0.858,No,Yes,100.0,100.0,100.0,100.0,1
603,Female,Group D,Master's,Standard,Completed,5.0,1.0,No,Yes,91.7,86.8,81.0,86.5,1
604,Female,Group B,Some College,Free/Reduced,Not Completed,6.1,0.925,No,Yes,68.2,63.3,70.8,67.4,1
605,Female,Group A,Bachelor's,Standard,Not Completed,1.7,0.817,No,Yes,50.1,60.8,52.7,54.5,0
606,Female,Group C,Bachelor's,Standard,Not Completed,6.6,0.93,No,No,89.0,86.2,86.8,87.3,1
607,Female,Group A,Bachelor's,Standard,Completed,7.1,0.869,No,No,81.3,78.9,72.4,77.5,1
608,Female,Group B,High School,Standard,Not Completed,12.7,0.935,No,No,69.0,70.1,68.7,69.3,1
609,Female,Group D,Master's,Free/Reduced,Completed,15.5,0.897,No,Yes,77.7,80.7,80.5,79.6,1
610,Male,Group A,Some College,Standard,Completed,10.3,0.906,Yes,Yes,86.1,85.7,80.1,84.0,1
611,Female,Group D,Some College,Free/Reduced,Not Completed,12.1,0.827,No,Yes,52.7,52.5,58.5,54.6,0
612,Male,Group A,High School,Free/Reduced,Completed,6.1,0.979,No,Yes,89.1,81.9,72.4,81.1,1
613,Male,Group B,Some College,Standard,Completed,3.0,0.808,Yes,Yes,54.0,58.8,48.0,53.6,0
614,Female,Group D,High School,Standard,Not Completed,8.0,0.811,No,Yes,52.8,58.1,60.2,57.0,0
615,Male,Group B,High School,Standard,Not Completed,12.5,0.929,No,Yes,75.3,89.5,83.6,82.8,1
616,Male,Group A,Some College,Free/Reduced,Completed,0.8,1.0,No,Yes,68.9,72.4,69.2,70.2,1
617,Female,Group B,Bachelor's,Standard,Completed,7.3,0.872,Yes,Yes,88.6,70.8,78.1,79.2,1
618,Female,Group B,Bachelor's,Standard,Not Completed,1.9,0.956,No,No,69.7,74.7,76.9,73.8,1
619,Male,Group D,Some College,Standard,Not Completed,4.1,0.986,No,No,60.8,63.7,64.5,63.0,1
620,Male,Group B,Bachelor's,Free/Reduced,Not Completed,7.5,0.965,No,Yes,69.8,76.7,66.7,71.1,1
621,Female,Group D,Bachelor's,Standard,Completed,15.6,0.875,No,Yes,96.0,94.2,88.6,92.9,1
622,Female,Group E,Bachelor's,Standard,Not Completed,6.9,0.813,No,No,67.8,67.4,66.0,67.1,1
623,Female,Group C,High School,Standard,Not Completed,9.9,0.723,Yes,No,51.2,53.4,65.5,56.7,0
624,Female,Group E,Associate's,Standard,Completed,7.9,0.879,No,Yes,84.1,83.8,86.6,84.8,1
625,Male,Group C,Master's,Free/Reduced,Not Completed,4.3,0.994,No,Yes,72.4,73.1,75.3,73.6,1
626,Female,Group E,Associate's,Standard,Not Completed,8.9,0.81,No,No,69.2,68.4,72.9,70.2,1
627,Female,Group A,Some College,Free/Reduced,Not Completed,2.9,0.956,No,Yes,70.7,71.7,65.8,69.4,1
628,Male,Group D,Associate's,Free/Reduced,Completed,6.8,0.824,Yes,Yes,86.6,86.0,89.4,87.3,1
629,Female,Group C,Associate's,Standard,Not Completed,13.8,0.908,No,Yes,85.8,97.7,88.8,90.8,1
630,Female,Group C,Associate's,Free/Reduced,Completed,7.6,0.957,No,No,71.6,83.1,79.9,78.2,1
631,Male,Group C,High School,Standard,Completed,7.9,0.847,No,No,72.6,83.5,65.1,73.7,1
632,Male,Group D,Some College,Standard,Not Completed,5.5,0.914,No,No,67.9,74.5,70.6,71.0,1
633,Female,Group A,Bachelor's,Free/Reduced,Not Completed,2.3,0.867,No,No,43.6,56.5,47.5,49.2,0
634,Male,Group B,Bachelor's,Standard,Not Completed,5.9,0.956,Yes,No,89.6,81.8,73.9,81.8,1
635,Female,Group D,High School,Standard,Not Completed,11.0,0.919,No,Yes,76.8,75.2,66.7,72.9,1
636,Female,Group D,Master's,Standard,Completed,8.5,0.905,Yes,No,100.0,93.4,86.2,93.2,1
637,Male,Group E,Some College,Free/Reduced,Completed,3.0,1.0,Yes,Yes,76.3,75.3,67.0,72.9,1
638,Female,Group D,Associate's,Standard,Not Completed,1.8,0.953,Yes,Yes,54.0,66.8,63.7,61.5,1
639,Female,Group E,Bachelor's,Standard,Not Completed,4.2,0.845,No,No,78.1,76.0,67.5,73.9,1
640,Female,Group D,Bachelor's,Standard,Not Completed,5.9,0.893,No,Yes,55.4,63.9,60.4,59.9,0
641,Female,Group B,Master's,Free/Reduced,Completed,6.2,0.894,Yes,Yes,89.0,94.1,100.0,94.4,1
642,Female,Group A,Some College,Free/Reduced,Not Completed,6.3,0.906,Yes,Yes,66.5,68.0,64.1,66.2,1
643,Female,Group D,Bachelor's,Standard,Not Completed,6.8,1.0,Yes,No,91.7,89.0,72.6,84.4,1
644,Female,Group C,High School,Free/Reduced,Not Completed,8.7,0.93,No,Yes,73.8,73.9,66.3,71.3,1
645,Female,Group A,Bachelor's,Standard,Not Completed,5.3,0.737,No,No,69.4,59.2,69.8,66.1,1
646,Male,Group B,Bachelor's,Standard,Not Completed,3.6,0.857,Yes,Yes,57.2,55.4,57.4,56.7,0
647,Male,Group E,Associate's,Free/Reduced,Not Completed,9.3,0.745,No,No,63.8,72.9,72.1,69.6,1
648,Male,Group C,Some College,Free/Reduced,Not Completed,11.2,0.874,No,Yes,71.1,71.1,70.7,71.0,1
649,Male,Group C,Bachelor's,Free/Reduced,Completed,4.8,0.741,No,No,56.5,57.0,46.9,53.5,0
650,Female,Group C,High School,Free/Reduced,Not Completed,19.1,0.83,No,No,70.1,66.3,65.2,67.2,1
651,Female,Group B,High School,Standard,Not Completed,15.2,0.778,No,Yes,68.9,65.5,65.3,66.6,1
652,Male,Group B,Bachelor's,Free/Reduced,Not Completed,3.2,0.931,No,Yes,57.6,59.4,59.0,58.7,0
653,Male,Group B,Some College,Standard,Not Completed,1.9,0.9,No,No,61.6,70.7,82.3,71.5,1
654,Male,Group A,Bachelor's,Standard,Not Completed,6.1,0.924,No,No,84.9,86.4,87.8,86.4,1
655,Female,Group D,Some College,Standard,Not Completed,8.0,0.892,No,Yes,71.0,74.7,72.7,72.8,1
656,Female,Group C,High School,Standard,Not Completed,18.9,0.788,No,Yes,71.9,75.1,73.5,73.5,1
657,Female,Group D,Bachelor's,Standard,Not Completed,18.6,0.941,Yes,No,89.3,96.2,91.2,92.2,1
658,Female,Group E,Associate's,Standard,Not Completed,9.9,1.0,No,Yes,78.3,89.5,76.6,81.5,1
659,Male,Group B,High School,Standard,Not Completed,5.3,0.933,No,Yes,80.2,77.1,77.1,78.1,1
660,Male,Group D,Bachelor's,Standard,Completed,13.0,0.866,Yes,No,83.0,82.1,85.6,83.6,1
661,Female,Group C,Associate's,Standard,Not Completed,7.3,0.786,Yes,Yes,61.6,73.0,51.7,62.1,1
662,Male,Group E,Associate's,Standard,Not Completed,2.7,0.827,No,Yes,68.2,72.0,77.2,72.5,1
663,Male,Group B,Some College,Standard,Not Completed,2.8,0.936,No,Yes,56.6,50.6,53.5,53.6,0
664,Female,Group D,Bachelor's,Free/Reduced,Not Completed,5.4,0.986,No,No,68.1,68.5,55.2,63.9,1
665,Female,Group C,Bachelor's,Free/Reduced,Not Completed,11.8,0.921,No,Yes,75.1,83.6,79.4,79.4,1
666,Female,Group B,Bachelor's,Free/Reduced,Not Completed,3.4,0.964,Yes,No,58.7,59.1,57.2,58.3,0
667,Female,Group A,High School,Standard,Completed,5.4,0.957,Yes,Yes,90.1,82.8,80.9,84.6,1
668,Female,Group D,Bachelor's,Free/Reduced,Not Completed,15.1,0.941,Yes,No,94.9,88.7,97.3,93.6,1
669,Female,Group D,Associate's,Standard,Not Completed,8.5,0.847,No,Yes,64.5,73.3,62.0,66.6,1
670,Female,Group B,Associate's,Standard,Completed,9.1,0.914,No,Yes,94.6,86.2,97.9,92.9,1
671,Female,Group C,Some College,Standard,Completed,12.0,0.832,Yes,No,99.8,94.5,87.4,93.9,1
672,Male,Group C,Bachelor's,Free/Reduced,Not Completed,5.4,0.901,No,Yes,58.9,62.3,55.5,58.9,0
673,Female,Group D,Bachelor's,Standard,Not Completed,15.7,0.926,No,Yes,76.1,76.2,79.0,77.1,1
674,Male,Group B,High School,Standard,Not Completed,10.1,1.0,Yes,No,93.3,97.7,100.0,97.0,1
675,Female,Group E,Some College,Standard,Not Completed,6.3,0.795,No,Yes,58.2,63.0,60.0,60.4,1
676,Male,Group B,Bachelor's,Free/Reduced,Not Completed,14.0,0.939,No,Yes,81.2,80.1,73.9,78.4,1
677,Female,Group B,High School,Standard,Not Completed,9.9,1.0,Yes,No,92.8,100.0,89.9,94.2,1
678,Female,Group A,Master's,Standard,Completed,6.7,0.961,No,Yes,87.2,91.4,78.9,85.8,1
679,Male,Group A,Associate's,Standard,Not Completed,9.3,0.967,No,Yes,69.4,78.7,72.6,73.6,1
680,Male,Group C,Associate's,Standard,Not Completed,3.9,0.947,No,No,74.2,74.7,65.8,71.6,1
681,Male,Group B,Some College,Free/Reduced,Not Completed,13.0,1.0,No,Yes,85.9,86.7,86.7,86.4,1
682,Female,Group D,High School,Standard,Completed,18.7,0.813,No,No,66.4,64.5,56.7,62.5,1
683,Female,Group A,Master's,Free/Reduced,Not Completed,2.2,0.789,No,Yes,61.7,59.1,61.4,60.7,1
684,Male,Group C,Some College,Standard,Not Completed,4.7,0.899,No,Yes,74.5,78.0,73.2,75.2,1
685,Male,Group B,Bachelor's,Free/Reduced,Not Completed,4.5,0.727,Yes,No,65.7,54.5,58.2,59.5,0
686,Male,Group A,Some College,Standard,Not Completed,10.5,0.998,No,Yes,87.7,92.6,93.7,91.3,1
687,Male,Group A,High School,Standard,Not Completed,7.7,0.998,Yes,Yes,97.2,85.7,80.4,87.8,1
688,Female,Group C,High School,Standard,Not Completed,5.2,0.865,No,No,54.3,60.3,62.6,59.1,0
689,Male,Group C,Associate's,Standard,Not Completed,5.7,0.87,No,Yes,63.7,61.4,53.0,59.4,0
690,Female,Group C,Master's,Standard,Not Completed,4.9,0.894,No,Yes,66.5,65.4,61.9,64.6,1
691,Female,Group C,Some College,Free/Reduced,Not Completed,9.7,0.904,No,Yes,93.8,78.4,97.0,89.7,1
692,Female,Group C,Some College,Standard,Completed,7.7,0.91,Yes,Yes,92.7,92.4,99.7,94.9,1
693,Female,Group A,Some College,Free/Reduced,Not Completed,5.5,0.945,No,No,66.3,75.9,74.2,72.1,1
694,Female,Group C,Associate's,Free/Reduced,Not Completed,4.9,0.886,No,No,53.4,57.1,53.8,54.8,0
695,Female,Group E,Some College,Standard,Not Completed,14.2,0.975,No,Yes,86.6,87.8,81.4,85.3,1
696,Male,Group C,Bachelor's,Free/Reduced,Not Completed,12.8,0.936,No,Yes,76.5,71.1,81.4,76.3,1
697,Female,Group D,Associate's,Free/Reduced,Completed,9.8,0.851,No,Yes,70.8,59.3,61.3,63.8,1
698,Male,Group B,Associate's,Standard,Not Completed,12.0,1.0,No,No,77.3,77.5,77.5,77.4,1
699,Female,Group D,High School,Free/Reduced,Not Completed,2.7,0.791,No,Yes,51.8,59.6,53.1,54.8,0
700,Female,Group D,Master's,Standard,Not Completed,3.4,0.893,No,Yes,60.3,69.7,55.7,61.9,1
701,Male,Group C,High School,Standard,Completed,3.1,0.977,No,No,73.8,81.1,70.4,75.1,1
702,Female,Group E,High School,Free/Reduced,Completed,6.9,0.842,No,No,74.0,84.5,67.5,75.3,1
703,Female,Group A,Associate's,Standard,Not Completed,12.3,0.925,No,Yes,71.4,73.7,74.0,73.0,1
704,Female,Group A,Associate's,Standard,Not Completed,5.2,0.943,No,No,76.4,91.7,81.4,83.2,1
705,Female,Group D,Some College,Standard,Not Completed,13.2,0.831,Yes,No,70.1,82.9,74.2,75.7,1
706,Male,Group D,Some College,Free/Reduced,Not Completed,4.7,0.894,Yes,Yes,74.6,69.7,65.2,69.8,1
707,Female,Group A,Bachelor's,Free/Reduced,Completed,6.3,0.887,Yes,Yes,80.5,74.8,71.6,75.6,1
708,Male,Group B,High School,Standard,Not Completed,5.2,0.856,No,Yes,57.8,52.1,57.8,55.9,0
709,Female,Group A,Bachelor's,Free/Reduced,Not Completed,6.0,1.0,Yes,Yes,78.4,73.3,67.8,73.2,1
710,Male,Group B,Associate's,Free/Reduced,Completed,6.4,0.839,No,Yes,67.4,75.2,68.5,70.4,1
711,Male,Group D,Some College,Standard,Completed,1.8,0.98,Yes,Yes,81.8,95.6,79.4,85.6,1
712,Male,Group C,Some College,Standard,Not Completed,8.4,0.869,No,No,68.5,62.0,64.5,65.0,1
713,Female,Group B,Some College,Free/Reduced,Completed,6.3,0.813,No,No,51.9,54.9,60.5,55.8,0
714,Female,Group C,Bachelor's,Free/Reduced,Not Completed,15.6,0.908,No,No,81.8,75.9,75.1,77.6,1
715,Female,Group A,Associate's,Free/Reduced,Completed,9.5,0.952,No,No,75.3,81.2,86.8,81.1,1
716,Male,Group B,Some College,Standard,Completed,8.2,0.974,Yes,No,72.4,86.4,85.5,81.4,1
717,Male,Group C,Associate's,Standard,Not Completed,15.1,1.0,Yes,No,100.0,100.0,100.0,100.0,1
718,Male,Group E,Master's,Standard,Completed,14.3,1.0,Yes,No,90.8,94.5,100.0,95.1,1
719,Female,Group D,Some College,Standard,Completed,16.0,0.92,No,No,73.3,72.8,74.9,73.7,1
720,Male,Group A,Master's,Standard,Not Completed,4.9,0.847,No,Yes,61.2,68.2,67.0,65.5,1
721,Male,Group E,Some College,Free/Reduced,Not Completed,3.1,0.936,No,No,62.3,68.1,58.3,62.9,1
722,Female,Group D,High School,Standard,Completed,1.8,0.879,Yes,Yes,59.1,55.9,52.2,55.7,0
723,Female,Group D,High School,Free/Reduced,Not Completed,12.0,0.974,No,No,67.5,55.9,64.0,62.5,1
724,Male,Group C,Some College,Standard,Not Completed,1.6,0.796,Yes,Yes,65.3,65.7,57.0,62.7,1
725,Male,Group C,High School,Standard,Completed,7.7,1.0,No,Yes,85.2,82.5,83.3,83.7,1
726,Male,Group B,High School,Standard,Completed,2.3,0.968,No,Yes,66.6,79.9,59.9,68.8,1
727,Female,Group A,Master's,Standard,Not Completed,12.9,0.765,Yes,Yes,85.1,87.4,90.7,87.7,1
728,Male,Group B,Bachelor's,Standard,Not Completed,9.1,0.843,No,Yes,67.7,69.0,65.4,67.4,1
729,Female,Group B,Bachelor's,Free/Reduced,Not Completed,12.9,0.965,No,No,82.8,80.6,76.3,79.9,1
730,Female,Group C,High School,Free/Reduced,Not Completed,7.8,0.994,No,Yes,74.3,73.9,68.5,72.2,1
731,Female,Group D,High School,Standard,Not Completed,3.6,0.798,Yes,Yes,56.5,53.9,37.3,49.2,0
732,Male,Group C,High School,Standard,Completed,5.1,0.957,No,Yes,47.7,66.3,59.6,57.9,0
733,Male,Group A,Bachelor's,Free/Reduced,Not Completed,11.3,0.744,No,No,61.5,73.8,66.6,67.3,1
734,Male,Group E,Master's,Standard,Not Completed,2.2,0.893,No,Yes,76.8,78.4,73.1,76.1,1
735,Female,Group E,Some College,Standard,Not Completed,4.9,0.989,No,Yes,74.9,75.4,74.1,74.8,1
736,Male,Group D,High School,Standard,Completed,4.4,0.856,No,Yes,67.4,81.3,68.5,72.4,1
737,Female,Group E,Associate's,Free/Reduced,Not Completed,6.5,0.779,No,Yes,49.5,42.3,41.5,44.4,0
738,Male,Group C,Some College,Standard,Not Completed,9.7,0.912,Yes,No,78.9,84.2,81.6,81.6,1
739,Female,Group E,Some College,Standard,Not Completed,12.7,0.852,Yes,No,76.4,78.2,83.6,79.4,1
740,Female,Group A,Associate's,Free/Reduced,Not Completed,2.6,0.95,No,No,51.5,52.0,57.3,53.6,0
741,Female,Group B,Bachelor's,Standard,Not Completed,3.8,0.829,Yes,No,74.0,83.4,77.2,78.2,1
742,Female,Group B,High School,Standard,Not Completed,2.8,0.838,No,No,68.0,52.4,53.2,57.9,0
743,Male,Group B,High School,Standard,Not Completed,6.6,0.738,No,No,83.7,79.8,73.6,79.0,1
744,Female,Group A,Master's,Free/Reduced,Not Completed,3.1,0.914,No,No,49.7,43.6,46.0,46.4,0
745,Female,Group C,High School,Standard,Not Completed,8.4,0.887,No,Yes,75.5,88.1,79.2,80.9,1
